Title,Directed by,Music by,Budget,Superstar,Trailer ,Trailer Likes,Hit/Flop
NTR: Kathanayakudu,Krish Jagarlamudi,M. M. Keeravani,54,1,18407528,219000,Flop
Yatra (2019 film),Mahi V Raghav,K,12,0,4413025,121000,Hit
Lakshmi's NTR,"Ram Gopal Varma
Agasthya Manju",Kalyani Malik,2.5,0,11923082,230000,Hit
Prema Katha Chitram 2,Hari Kishan,Jeevan Babu,3,1,1378114,9300,Hit
Chitralahari (film),Kishore Tirumala,Devi Sri Prasad,15,1,5859196,78000,Hit
Chikati Gadilo Chithakotudu,Santhosh P. Jayakumar,Balamurali Balu,2,0,274751,984,Hit
Maharshi (2019 film),Vamshi Paidipally,Devi Sri Prasad,115,1,27636313,382000,Hit
ABCD: American Born Confused Desi (2019 film),Sanjeev Reddy,Judah Sandhy,4.5,0,7062449,94000,Hit
Sita (2019 film),Teja,Anup Rubens,25,1,5031962,54000,Flop
Devi 2,A. L. Vijay,Sam C. S.,25,1,3529735,33000,Flop
1st Rank Raju (2019 film),Naresh Kumar HN,Kiran Ravindranath,3,0,506004,4300,Hit
Brochevarevarura,Vivek Athreya,Vivek Sagar,5,1,2134966,34000,Hit
Dorasaani,KVR Mahendra,Prashanth R Vihari,2,0,3166798,40000,Flop
Dear Comrade,Bharat Kamma,Justin Prabhakaran,25,1,18802552,415000,Hit
Kathanam,Rajesh Nadendla,Roshan Salur,2,0,515678,2400,Hit
Kobbari Matta,Sai Rajesh,Kamran,1,0,910397,11000,Hit
Evaru,Venkat Ramji,Sricharan Pakala,8,1,656553,7000,Hit
Nani's Gang Leader,Vikram Kumar,Anirudh Ravichander,40,1,6886823,137000,Hit
Gaddalakonda Ganesh,Harish Shankar,Mickey J. Meyer,25,1,1468761,29000,Hit
Chanakya (2019 film),Thiru,"Songs:
Vishal Chandrasekhar
Sricharan Pakala
Score:
Sricharan Pakala",15,1,6814939,118000,Hit
Evvarikee Cheppoddu,Basava Shanker,Shankar Sharma,1,0,1178908,15000,Hit
Ala Vaikunthapurramuloo,Trivikram Srinivas,Thaman S,100,1,35729574,630000,Hit
Pushpa: The Rise,Sukumar,Devi Sri Prasad,180,1,71668546,1400000,Hit
Vakeel Saab,Venu Sriram,S. Thaman,70,1,49105016,1300000,Hit
Akhanda,Boyapati Srinu,Thaman S,60,1,40112772,622000,Hit
Uppena,Buchi Babu Sana,Devi Sri Prasad,14,1,31123212,514000,Hit
Krack (film),Gopichand Malineni,Thaman S,45,1,24821199,426000,Hit
Jathi Ratnalu,Anudeep K. V.,Radhan,6,0,22217787,515000,Hit
Shyam Singha Roy,Rahul Sankrityan,Mickey J. Meyer,40,1,14509762,456000,Hit
Love Story (2021 film),Sekhar Kammula,Pawan Ch,30,1,15200290,487000,Hit
Most Eligible Bachelor,Bhaskar,Gopi Sundar,24,1,12359452,289000,Hit
Rang De,Venky Atluri,Devi Sri Prasad,30,1,15997261,229000,Flop
Mail (film),Uday Gurrala,"Sweekar Agasthi
Kamran",5,0,1542636,43000,Flop
Red (2021 film),Kishore Tirumala,Mani Sharma,20,1,248629,5800,Hit
Super Over (film),Praveen Varma,Sunny M. R.,6,0,245097,6500,Hit
Bangaru Bullodu (2021 film),P. V. Giri,Sai Karthik,12.5,0,3023469,94000,Hit
30 Rojullo Preminchadam Ela,Dhulipudi Phani Pradeep (Munna),Anup Rubens,6,0,6627219,190000,Hit
Zombie Reddy,Prasanth Varma,Mark K. Robin,4,0,9019293,162000,Hit
Pitta Kathalu,"Nag Ashwin
B.V. Nandini Reddy
Tharun Bhascker
Sankalp Reddy","Songs:
Vivek Sagar
Mickey J. Meyer
Sanjith Hegde?Soorya Praveen
Prashanth R Vihari
Score:
Smaran",15,1,2260299,29000,Flop
Sreekaram,Kishor B,Mickey J. Meyer,25,1,8546356,222000,Hit
Love Life & Pakodi,Jayanth Gali,Pavan,1,0,1479599,3700,Hit
Chaavu Kaburu Challaga,Pegallapati Koushik,Jakes Bejoy,5.5,1,8227603,162000,Hit
Thellavarithe Guruvaram,Manikanth Gelli,Kaala Bhairava,3,0,2971044,33000,Flop
Cinema Bandi,Praveen Kandregula,"Satyavolu Sirish
Varun Reddy",1.5,0,1454454,41000,Hit
Ek Mini Katha,Karthik Rapolu,Pravin Lakkaraju,5,0,98894,994,Flop
Pachchis,"Sri Krishna
Rama Sai",Smaran,1,0,2954709,4000,Hit
Thimmarusu,Sharan Koppisetty,Sricharan Pakala,2.6,0,6459869,94000,Flop
Paagal,Naresh Kuppili,"Radhan
Leon James (1 song)",10,0,7652587,260000,Flop
Raja Raja Chora,Hasith Goli,Vivek Sagar,4,1,2353377,57000,Hit
Sridevi Soda Center,Karuna Kumar,Mani Sharma,4,0,8247708,205000,Hit
RRR,S. S. Rajamouli,M. M. Keeravani,600,1,84080166,1900000,Hit
Salaar: Part 1 ? Ceasefire,Prashanth Neel,Ravi Basrur,270,1,51285939,1400000,Hit
Adipurush,Om Raut,"Score:
Sanchit Balhara
Ankit Balhara
Songs:
Ajay-Atul
Sachet?Parampara",600,1,29811357,671000,Flop
Waltair Veerayya,Bobby Kolli,Devi Sri Prasad,140,1,23583632,581000,Hit
Veera Simha Reddy,Gopichand Malineni,S. Thaman,100,1,24443205,537000,Hit
Vaathi,Venky Atluri,G. V. Prakash Kumar,47.5,0,2120637,39000,Hit
Dasara (film),Srikanth Odela,Santhosh Narayanan,65,1,3314776,67000,Hit
Bhagavanth Kesari,Anil Ravipudi,Thaman S,100,1,22948628,325000,Hit
Bro (2023 film),Samuthirakani,Thaman S,50,1,37301043,601000,Hit
Virupaksha (film),Karthik Varma Dandu,B. Ajaneesh Loknath,44,1,13994758,186000,Hit
Baby (2023 film),Sai Rajesh Neelam,Vijay Bulganin,10,0,21404420,369000,Hit
Veera Simha Reddy,Gopichand Malineni,S. Thaman,100,1,24443207,537000,Hit
Waltair Veerayya,Bobby Kolli,Devi Sri Prasad,140,1,23583633,581000,Hit
Kalyanam Kamaneeyam (film),Anil Kumar Aalla,Shravan Bharadwaj,5,0,373385,9700,Hit
Hunt (2023 film),Mahesh Surapaneni,Ghibran,14,0,17957,213,Flop
Butta Bomma (film),Shouree Chandrasekhar T. Ramesh,"Gopi Sundar
Sweekar Agasthi",1,0,6555659,63000,Hit
Amigos (film),Rajendra Reddy,Ghibran,26,1,13582463,205000,Flop
Vaathi,Venky Atluri,G. V. Prakash Kumar,50,0,2120637,39000,Hit
Vinaro Bhagyamu Vishnu Katha,Murali Kishor Abburu,Chaitan Bharadwaj,7.5,0,449049,10000,Flop
Mr. King,Sasiidhar Chavali,Mani Sharma,15,0,119506,1000,Flop
CSI Sanatan,Sivashankar Dev,Aneesh Solomon,15,0,224721,2300,Flop
Phalana Abbayi Phalana Ammayi,Srinivas Avasarala,Kalyani Malik,8,0,293467,4400,Flop
Das Ka Dhamki,Vishwak Sen,"Leon James
Ram Miriyala (1 song)
Bhadru Nayak",20,1,8193871,210000,Hit
Shaakuntalam,Gunasekhar,Mani Sharma,65,1,2475715,31000,Flop
Agent (film),Surender Reddy,"Hiphop Tamizha
Bheems Ceciroleo (1 song)",65,1,19504408,292000,Flop
Bhuvana Vijayam (film),Yalamanda Charan,Shekar Chandra,10,0,1184495,7200,Flop
Anni Manchi Sakunamule,B. V. Nandini Reddy,Mickey J. Meyer,12,0,3673601,37000,Flop
Malli Pelli (2023 film),M. S. Raju,"Songs:
Suresh Bobbili
Aruldev
Score:
Aruldev",15,0,6811480,34000,Flop
Boo (2023 film),A. L. Vijay,"Songs:
G. V. Prakash Kumar
Score:
Madhu R",2,1,1399952,9600,Hit
Adipurush,Om Raut,"Score:
Sanchit Balhara
Ankit Balhara
Songs:
Ajay-Atul
Sachet?Parampara",600,1,29811366,671000,Flop
Spy (2023 film),Garry BH,"Vishal Chandrasekhar
Sricharan Pakala",28,0,14899293,207000,Flop
Maya Petika,Ramesh Raparthi,Guna Balasubramanian,15,0,1672439,8100,Hit
Baby (2023 film),Sai Rajesh Neelam,Vijay Bulganin,10,0,21404453,369000,Hit
Hidimbha,Aneel Kanneganti,Vikas Badisa,10,0,7242884,71000,Flop
Bhola Shankar,Meher Ramesh,Mahati Swara Sagar,101,1,20212028,326000,Flop
Bedurulanka 2012,Clax,Mani Sharma,10,0,7595146,101000,Hit
Hanu-Man,Prasanth Varma,"Score:
GowraHari
Songs:
GowraHari
Anudeep Dev",40,0,24577014,406000,Hit
